model_name,battery_kWh,motor_power_kW,range_km,energy_per_km,efficiency_km_per_kWh,power_ratio,driving_style,style_multiplier,initial_soc,trip_distance_km,energy_consumed_kWh,final_soc
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,City,1,46.72878196,12.61627936,1.160651275,43.36457537
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Highway,1.1,18.19014452,5.148271433,0.683949103,17.13791513
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Aggressive,1.25,27.67417839,10.30051461,1.516565755,24.80732442
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,55.77555401,15.06130814,1.397610472,52.99700437
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Aggressive,1.25,18.4821541,12.72823202,1.463688135,15.2295138
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Highway,1.1,72.94926302,24.34254969,2.932837312,67.61683154
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Aggressive,1.25,88.27318848,36.27601879,5.476452111,79.84787754
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,45.17242976,28.24708201,2.656798533,29.8152128
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Eco,0.85,36.57718133,9.462353483,0.739926445,34.432467
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Aggressive,1.25,61.13669386,2.77896166,0.361091692,60.27695174
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Eco,0.85,67.8752879,24.38080133,2.269844592,63.74829773
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,City,1,74.55236131,32.87620307,3.442534353,66.90228497
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,City,1,19.23577825,15.47740678,1.423864469,16.07163499
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,51.14432819,20.78567803,1.696790043,44.07436967
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,City,1,36.59912833,11.6270283,1.269326233,34.07561693
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,63.47748742,34.74060207,3.611289196,54.87917981
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,50.42129154,30.25242848,4.141898751,42.89056654
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Eco,0.85,53.86670291,5.759425007,0.590532118,53.07932675
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Highway,1.1,49.39380311,19.08962334,1.931792611,43.79440424
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Eco,0.85,95.1086859,11.62596755,1.076478477,93.28414611
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Eco,0.85,53.77130871,39.12422389,2.86439193,38.85260074
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Eco,0.85,12.92288217,21.04263449,1.651545644,7.417730025
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Highway,1.1,51.36499966,8.317291167,0.969175877,49.72232868
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Eco,0.85,92.03307575,32.52396696,4.024071604,87.15895802
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Highway,1.1,28.54058206,5.282353338,0.672521837,27.68928859
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,City,1,31.93239572,9.166601415,1.334294238,30.31624476
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Eco,0.85,94.48826128,23.01563685,2.033606167,89.64634184
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,98.30179448,30.74947645,3.196411274,90.69129145
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,City,1,84.1601736,29.48739375,3.412892795,79.84005614
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Highway,1.1,86.50412286,7.80316489,0.898793862,84.50680317
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,44.0549669,25.04790282,2.585456526,34.11090334
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Eco,0.85,46.30198431,17.00378557,2.103816264,43.75375725
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Aggressive,1.25,41.03459982,24.55682477,2.823921891,32.84931897
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Highway,1.1,73.96432201,31.41584869,3.772645585,66.46403258
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Aggressive,1.25,55.53998812,28.65562053,3.295264551,45.98849667
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,City,1,68.99422422,23.17772982,2.132265853,64.25585566
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Highway,1.1,92.36581387,29.66614486,3.562528312,85.28325261
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,30.19009773,14.27637516,1.133045648,25.65791514
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,City,1,16.0998699,10.21185359,0.879573953,11.51875556
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,55.37090155,12.70793334,1.179229622,53.02650867
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,City,1,26.15521776,36.81777437,3.681777437,17.38908101
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Eco,0.85,75.34872521,30.97505801,2.402262711,67.12179812
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Eco,0.85,84.68218679,2.671092847,0.208871106,84.07676329
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,City,1,22.15795066,7.385237739,0.884459609,21.03838154
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,52.84132095,30.31878073,2.14222474,46.72067884
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Aggressive,1.25,44.00554132,24.95522252,2.8697358,35.68746654
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Aggressive,1.25,42.87280791,4.91806319,0.511020697,41.41274878
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,12.02496811,7.385543539,0.767728019,10.19704426
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Highway,1.1,46.33295614,34.38050222,5.504883907,39.66521885
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,45.80036802,36.90648436,5.524922809,38.80679484
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Eco,0.85,29.7298425,39.85690848,4.931349666,23.756793
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Highway,1.1,38.19449597,15.46169699,2.352402032,32.22393243
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,City,1,27.19257627,30.23299442,3.499189169,22.76322289
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Highway,1.1,44.17020161,33.80790533,3.865768801,34.96599018
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Highway,1.1,16.39789059,38.34096639,5.050905752,10.00433901
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,58.58064977,6.68037844,0.628327543,54.94869865
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Highway,1.1,33.73205651,20.70646351,2.385037682,28.43197277
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Eco,0.85,88.57612729,32.23676015,2.360141786,76.28372216
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Aggressive,1.25,70.13360681,38.55184307,5.104852102,61.48131511
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,City,1,94.34818461,13.03043878,1.89671598,92.05080576
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,City,1,69.37747484,33.58661057,2.892903581,54.31026869
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Eco,0.85,31.44057154,11.54531625,1.126695616,28.47558308
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Highway,1.1,13.71384535,3.962022149,0.359886405,12.32966687
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,City,1,90.50944739,19.16324845,2.21796857,87.70189223
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,City,1,97.17530594,14.78908845,1.478908845,93.65409441
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,25.47378473,18.67331806,2.548214801,20.40775133
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Highway,1.1,38.45026967,6.321031286,0.961706005,36.00939149
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,92.74409634,27.4948309,2.275719638,79.58964757
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Eco,0.85,30.91272524,31.54622961,2.188922055,21.79221668
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Eco,0.85,52.03944614,7.313671998,0.904893915,50.94340215
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Highway,1.1,23.85281138,17.48644317,2.106800382,20.02226523
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,32.36270792,16.08492196,1.313054854,26.89164603
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Highway,1.1,54.92000011,39.03801373,6.250628108,47.34898739
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Aggressive,1.25,94.25077334,19.28866854,3.509583068,89.99982485
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,City,1,34.23571677,24.65429309,2.830573259,26.78683977
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Highway,1.1,86.4055616,23.39914383,3.10858191,81.62312789
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Aggressive,1.25,41.21100045,9.855638968,1.487868202,38.92197245
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Aggressive,1.25,23.4957628,17.73996541,2.30508906,18.00745551
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,City,1,29.06746352,2.707247757,0.270724776,28.42288072
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Eco,0.85,17.95329076,24.58219231,1.929350274,11.52212318
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,47.30678769,22.2674408,2.314702786,41.79559058
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Aggressive,1.25,55.61654253,18.65612255,2.813046223,51.86581423
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Eco,0.85,66.11993153,31.67029257,2.798310674,59.45728707
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Aggressive,1.25,43.85337431,12.5518884,1.709135131,40.95653511
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Aggressive,1.25,60.877466,15.94420063,2.11125538,57.29906705
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,City,1,86.75700182,10.57731429,1.245855629,84.40188721
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,91.11443078,8.494810093,1.163035336,88.99982108
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Highway,1.1,86.76046134,31.66422928,2.876189282,75.69819487
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Aggressive,1.25,64.88995228,13.21703203,1.348676738,59.27046588
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Eco,0.85,33.56342536,14.93567113,1.390506075,31.03523249
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,58.26064571,14.06549447,1.305204182,55.66580638
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Highway,1.1,45.03127981,26.95083054,3.236453449,38.59697872
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,City,1,24.34847232,3.904435751,0.293787491,22.65027873
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,80.39598987,23.92539512,3.30918328,71.99704754
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,17.98707478,10.03541345,0.709069113,15.96116303
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,City,1,28.65222694,30.85644046,3.542645288,19.32947618
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,86.46417208,18.99704888,2.843869593,82.86433716
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Highway,1.1,99.92076435,3.251212866,0.494652027,98.66530236
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Highway,1.1,21.03423237,18.40133963,2.384154723,16.52732363
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Eco,0.85,38.03725934,14.15635473,1.106982661,34.82861394
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Highway,1.1,44.14648381,33.32168946,3.882823984,37.56542622
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Aggressive,1.25,20.10448738,25.10562849,4.340530514,9.087912471
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,55.45895792,35.07176254,4.850866188,43.14711481
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,37.50637471,5.006050836,0.397305622,35.91715223
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Highway,1.1,30.69087403,35.0932746,4.43198646,19.02775177
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,12.96065656,13.83631387,1.894347464,9.516388441
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,95.24626292,8.544549987,0.697514285,92.3399534
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Highway,1.1,26.12371283,5.940063346,0.601110366,24.78791202
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,54.69650317,6.188378286,0.512205878,51.73577556
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Highway,1.1,30.19747749,37.229723,4.73989529,24.19761004
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Eco,0.85,69.17404999,29.24222791,3.61803402,64.79174134
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Aggressive,1.25,47.93730786,25.25001745,3.280927424,40.1255759
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Highway,1.1,15.77941296,22.19067444,3.376174534,7.210442065
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Highway,1.1,19.60909095,26.18373425,3.051070729,14.43778463
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,79.5881223,4.317530845,0.357357707,77.52247081
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Aggressive,1.25,61.88773173,5.626996608,0.736517881,60.25102533
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,City,1,66.37083267,22.6067233,2.66274715,61.33728419
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Highway,1.1,12.16065764,23.18808917,2.550689809,6.08758667
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Highway,1.1,79.30655227,37.47053091,3.791866053,68.31563618
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,36.96278377,19.04440494,1.51146071,30.91694093
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,40.1263695,15.15621609,1.254464839,32.87512766
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Highway,1.1,95.23734755,31.54818267,3.166332202,84.39374412
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Aggressive,1.25,57.90150263,5.881247635,0.865908073,56.26462537
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Highway,1.1,41.60598422,2.743713604,0.361447301,41.14845599
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,City,1,22.63987939,32.2038353,3.88935209,16.65626079
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,17.06198767,2.434421092,0.193208023,16.28915558
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Highway,1.1,21.22495924,17.32619018,2.299011966,18.15960995
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Highway,1.1,55.16150574,24.14870951,2.168455548,46.12627429
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,61.3881571,30.53918346,4.181158743,53.7860503
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,10.88661715,37.81067734,3.129551924,0
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Aggressive,1.25,47.3266282,17.17848545,2.24849286,42.3299774
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Highway,1.1,58.02047462,10.40770842,1.32505547,56.34318922
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Aggressive,1.25,44.73611179,29.99266292,3.461757031,33.19692168
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,28.88458562,5.158670186,0.703967001,27.48504884
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Eco,0.85,43.89606115,9.328670381,0.91037541,41.50033639
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Aggressive,1.25,51.65007509,13.53384405,1.543549732,46.36394587
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Highway,1.1,70.44002735,36.75206391,4.403842081,62.97588823
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Eco,0.85,93.963831,26.12907748,1.671159959,84.30394684
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Highway,1.1,62.48795984,24.00944662,3.05675825,58.6186456
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,City,1,83.98433097,3.446577367,0.259336145,82.48527811
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Aggressive,1.25,74.95804763,15.72016002,1.814422902,68.90997129
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Highway,1.1,48.94674113,5.148112563,0.655430998,48.11708163
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Highway,1.1,32.89482728,15.86648261,1.385169117,27.35415082
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Aggressive,1.25,26.83568118,7.870945369,1.186813234,25.25326353
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Highway,1.1,92.37055708,3.317952634,0.382172555,91.52128474
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,67.65201987,35.1740181,3.630678994,53.6878699
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Highway,1.1,74.30393473,17.99006769,1.82052203,70.25833022
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Aggressive,1.25,84.78260317,29.6787413,4.259291231,73.57394204
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Highway,1.1,97.2522955,3.52641835,0.32031876,96.02030027
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,City,1,69.89842522,19.76504795,2.367071611,66.90213204
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,66.6353545,14.32344478,1.169260798,61.7634345
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Eco,0.85,77.64228094,15.64678324,1.456710379,74.99371661
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,City,1,23.32932697,6.691461709,0.768250483,21.30761517
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Aggressive,1.25,84.19968705,22.27909318,2.894892565,77.3070857
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Highway,1.1,67.94558302,15.14253522,1.961930358,64.23682998
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Aggressive,1.25,82.97251102,27.3832002,3.123083964,72.27701799
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,61.93302284,13.70270289,1.869910329,58.21550728
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Eco,0.85,59.00732831,20.54946464,2.057366895,55.11816594
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Eco,0.85,31.73927599,35.52639997,2.600985355,18.19247727
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,City,1,27.33971618,14.09601675,1.214127196,21.01613704
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Highway,1.1,84.12696822,12.82549054,1.536823485,81.52218265
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,City,1,97.96955966,12.11638732,1.211638732,95.08470553
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,City,1,53.41031194,11.58893167,1.686889617,51.36708324
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Eco,0.85,18.72584871,37.12127705,2.605539677,8.704542263
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,63.64765413,20.89296943,1.658172177,57.01496543
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Eco,0.85,65.79922212,30.97107901,2.089318822,57.44194683
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Highway,1.1,35.65201266,32.77018515,4.353527012,28.95427879
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Eco,0.85,18.04311175,19.13294802,1.964131137,15.02137154
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Aggressive,1.25,25.17153404,14.29747739,1.644144134,20.40589887
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Eco,0.85,12.29354666,20.29955544,2.386531414,6.236360331
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Highway,1.1,53.78426808,13.3142537,2.131831015,51.20210842
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,City,1,29.33769023,21.61971796,2.546492103,24.52390554
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Eco,0.85,77.96090921,2.363005254,0.240545445,77.65642131
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Highway,1.1,67.87605964,7.841292598,0.70411607,64.94224269
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Highway,1.1,52.0155208,6.997709747,0.628365773,49.39733008
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,City,1,42.69328013,29.14580326,2.914580326,35.75380316
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,37.34276645,9.197099292,0.956039427,35.0664821
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,City,1,17.67183855,11.93855645,1.102359783,13.99730594
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,59.96983134,15.32177468,1.59270007,56.17768832
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,81.18453739,28.51320253,3.123023278,75.50631325
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,23.43921235,21.93735753,1.550021106,19.01058062
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,20.12231984,19.37228531,2.679430886,13.32173383
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Aggressive,1.25,23.0304802,2.198176641,0.315467371,22.20030291
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Highway,1.1,63.58703932,19.2581101,1.932839517,56.96772591
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,70.30676856,30.56231901,2.159432349,64.13696185
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Highway,1.1,78.52539234,33.06004076,3.852335259,71.99601054
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,11.91942373,16.0048006,2.184061218,7.577353718
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,42.28363261,11.35460257,0.926906332,38.42152289
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Aggressive,1.25,76.43084785,12.78207559,1.927333472,73.86106989
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Eco,0.85,22.8647782,16.80659686,1.682639262,19.68398565
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Highway,1.1,48.8334348,33.97756852,2.966295664,36.96825214
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,76.99555151,14.01599746,0.99032401,74.16605434
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Highway,1.1,84.73309505,22.55314602,2.597744568,78.96032934
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Highway,1.1,56.60844469,2.205458761,0.285748485,56.06827742
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,21.37226097,9.131484732,0.745427325,18.26631378
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,57.67246302,14.1841606,1.46409585,52.04132513
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,61.03677809,27.77929575,2.887660681,54.16139551
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Highway,1.1,28.30227495,30.22433974,4.010467275,22.95498525
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Highway,1.1,39.99617022,26.08648587,2.369540418,30.88255323
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Aggressive,1.25,22.02641304,27.26402808,3.109492254,11.37746696
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Highway,1.1,45.35432184,28.25431942,3.392985957,38.60882292
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,City,1,54.81084351,37.56620325,4.531508233,48.76883253
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,City,1,79.31315309,29.0248254,2.680039279,70.37968883
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Eco,0.85,58.39091589,11.0589547,1.023977287,56.65536116
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Aggressive,1.25,65.29995156,28.16366902,3.238692389,55.91243738
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,City,1,12.58693463,19.46392921,2.292571167,8.25315171
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Eco,0.85,97.74341001,37.31409278,3.455008591,91.88746325
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Highway,1.1,30.97085272,14.93443453,1.967410537,28.48045963
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Eco,0.85,66.64295155,10.1510016,0.712498048,63.90257444
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Aggressive,1.25,47.56838274,37.90995214,5.16203052,38.81917847
